legacy_path	year	resolution	canonical_slug	destination
/2022-Bella-has-a-home	2022	resolved	bella-2022	/adoption-successes/2022/bella-2022
/2022-duke-fawnequin--has-a-home	2022	resolved	duke-fawnequin-2022	/adoption-successes/2022/duke-fawnequin-2022
/2024-Loki-has-a-home	2024	resolved	loki-2024	/adoption-successes/2024/loki-2024
/2022-bruce-has-a-home	2022	year_archive_fallback		/adoption-successes/2022
/2022-ella-has-a-home	2022	year_archive_fallback		/adoption-successes/2022
/2022-lucy-has-a-home	2022	year_archive_fallback		/adoption-successes/2022
/2022-lucy-has-a-home-2	2022	year_archive_fallback		/adoption-successes/2022
/2023-finlee-has-a-home	2023	year_archive_fallback		/adoption-successes/2023
/2023-lucy-has-a-home	2023	year_archive_fallback		/adoption-successes/2023
/2024-athena-harl-has-a-home	2024	year_archive_fallback		/adoption-successes/2024
/2024-blu-has-a-home	2024	year_archive_fallback		/adoption-successes/2024
/2024-blue-blue-has-a-home	2024	year_archive_fallback		/adoption-successes/2024
/2024-echo-has-a-home	2024	year_archive_fallback		/adoption-successes/2024
/2024-korbin-has-a-home	2024	year_archive_fallback		/adoption-successes/2024
/2024-magggie-has-a-home	2024	year_archive_fallback		/adoption-successes/2024
/2024-malakai-has-a-home	2024	year_archive_fallback		/adoption-successes/2024
/2024-nova-has-a-home	2024	year_archive_fallback		/adoption-successes/2024
/2024-sailor-has-a-home	2024	year_archive_fallback		/adoption-successes/2024
/2024-salem-has-a-home	2024	year_archive_fallback		/adoption-successes/2024
